Zip3,SCF
728,RUSSELLVILLE AR 728
729,FORT SMITH AR 729
"730, 731",SCF OKLAHOMA CITY OK 730
"733, 786, 787, 789",SCF AUSTIN TX 786
734,ARDMORE OK 734
735,LAWTON OK 735
736,CLINTON OK 736
737,ENID OK 737
738,WOODWARD OK 738
"740, 741, 743",SCF TULSA OK 740
744,MUSKOGEE OK 744
745,MCALESTER OK 745
746,PONCA CITY OK 746
747,DURANT OK 747
748,SHAWNEE OK 748
749,POTEAU OK 749
750,NORTH TEXAS TX 750
751-753,SCF DALLAS TX 752
754,GREENVILLE TX 754
"756, 757",SCF EAST TEXAS TX 757
758,PALESTINE TX 758
759,LUFKIN TX 759
"760-762, 764",SCF FT WORTH TX 760
763,WICHITA FALLS TX 763
765-767,SCF WACO TX 766
"768, 795, 796",SCF ABILENE TX 795
"769, 797",SCF MIDLAND TX 797
770-772,SCF HOUSTON TX 770
773-775,SCF NORTH HOUSTON TX 773
"776, 777",SCF BEAUMONT TX 776
778,BRYAN TX 778
779,VICTORIA TX 779
"780-782, 788",SCF SAN ANTONIO TX 780
"783, 784",SCF CORPUS CHRISTI TX 783
785,MCALLEN TX 785
"790, 791",SCF AMARILLO TX 790
792,CHILDRESS TX 792
"793, 794",SCF LUBBOCK TX 793
"798, 799, 885",SCF EL PASO TX 798
"800-804, 806, 807",SCF DENVER CO 800
805,LONGMONT CO 805
808-810,SCF COLORADO SPGS CO 808
811,ALAMOSA CO 811
812,SALIDA CO 812
813,DURANGO CO 813
"814, 815",SCF GRAND JUNCTION CO 814
816,GLENWOOD SPRINGS CO 816
820,CHEYENNE WY 820
822,WHEATLAND WY 822
823,RAWLINS WY 823
824,WORLAND WY 824
825,RIVERTON WY 825
826,CASPER WY 826
827,GILLETTE WY 827
828,SHERIDAN WY 828
829-831,SCF ROCK SPRINGS WY 829
"832, 834",SCF POCATELLO ID 832
833,TWIN FALLS ID 833
"835, 994",SCF LEWISTON ID 835
"836, 837, 979",SCF BOISE ID 836
"838, 990-992",SCF SPOKANE WA 990
840-844,SCF SALT LAKE CTY UT 840
845-847,SCF PROVO UT 845
"850, 852, 853",SCF PHOENIX AZ 852
855,GLOBE AZ 855
"856, 857",SCF TUCSON AZ 856
859,SHOW LOW AZ 859
860,FLAGSTAFF AZ 860
863,PRESCOTT AZ 863
864,KINGMAN AZ 864
"865, 873",SCF GALLUP NM 873
"870-872, 875",SCF ALBUQUERQUE NM 870
874,FARMINGTON NM 874
877,LAS VEGAS NM 877
878,SOCORRO NM 878
879,TRUTH OR CONS NM 879
880,LAS CRUCES NM 880
881,CLOVIS NM 881
882,ROSWELL NM 882
883,ALAMOGORDO NM 883
884,TUCUMCARI NM 884
889-891,SCF LAS VEGAS NV 890
893,ELY NV 893
"894, 895, 897, 961",SCF RENO NV 894
898,ELKO NV 898
"900, 901",SCF LOS ANGELES CA 900
902-904,SCF INGLEWOOD CA 902
905-908,SCF LONG BEACH CA 907
910-912,SCF PASADENA CA 910
913-916,SCF VAN NUYS CA 913
"917, 918",SCF INDUSTRY CA 917
919-921,SCF SAN DIEGO CA 920
922-925,SCF SN BERNARDINO CA 923
"926, 927",SCF SANTA ANA CA 926
928,ANAHEIM CA 928
930,OXNARD CA 930
"931, 934",SCF SANTA BARBARA CA 931
"932, 933",SCF BAKERSFIELD CA 932
935,MOJAVE CA 935
936-938,SCF FRESNO CA 936
939,SALINAS CA 939
"940, 941, 943, 944",SCF SAN FRANCISCO CA 940
"942, 956-958",SCF SACRAMENTO CA 956
945-948,SCF OAKLAND CA 945
"949, 954",SCF NORTH BAY CA 949
"950, 951",SCF SAN JOSE CA 950
"952, 953",SCF STOCKTON CA 952
955,EUREKA CA 955
959,MARYSVILLE CA 959
960,REDDING CA 960
"967, 968",SCF HONOLULU HI 967
969,BARRIGADA GU 969
"970-972, 986",SCF PORTLAND OR 970
973,SALEM OR 973
974,EUGENE OR 974
975,MEDFORD OR 975
976,KLAMATH FALLS OR 976
977,BEND OR 977
978,PENDLETON OR 978
"980, 981",SCF SEATTLE WA 980
982,EVERETT WA 982
"983, 984",SCF TACOMA WA 983
985,OLYMPIA WA 985
988,WENATCHEE WA 988
989,YAKIMA WA 989
993,PASCO WA 993
"995, 996",SCF ANCHORAGE AK 995
997,FAIRBANKS AK 997
998,JUNEAU AK 998
999,KETCHIKAN AK 999
